State,Last_Update,Confirmed
Ohio,2020-04-20,12919
Oklahoma,2020-04-20,2680
Oregon,2020-04-20,1957
Pennsylvania,2020-04-20,33914
Puerto Rico,2020-04-20,1252
Rhode Island,2020-04-20,5090
South Carolina,2020-04-20,4446
South Dakota,2020-04-20,1685
Tennessee,2020-04-20,7238
Texas,2020-04-20,19756
Utah,2020-04-20,3213
Vermont,2020-04-20,816
Virgin Islands,2020-04-20,53
Virginia,2020-04-20,8990
Washington,2020-04-20,12114
West Virginia,2020-04-20,902
Wisconsin,2020-04-20,4499
Wyoming,2020-04-20,317
Recovered,,0
Province_State,Last_Update,Confirmed
Alabama,2020-04-21,5404
Alaska,2020-04-21,329
American Samoa,2020-04-21,0
Arizona,2020-04-21,5256
Arkansas,2020-04-21,1990
California,2020-04-21,35465
Colorado,2020-04-21,10473
Connecticut,2020-04-21,20360
Delaware,2020-04-21,2931
Diamond Princess,2020-04-21,49
District of Columbia,2020-04-21,3098
Florida,2020-04-21,27869
Georgia,2020-04-21,19881
Grand Princess,2020-04-21,103
Guam,2020-04-21,136
Hawaii,2020-04-21,586
Idaho,2020-04-21,1736
Illinois,2020-04-21,33059
Indiana,2020-04-21,12097
Iowa,2020-04-21,3641
Kansas,2020-04-21,2164
Kentucky,2020-04-21,3204
Louisiana,2020-04-21,24854
Maine,2020-04-21,888
Maryland,2020-04-21,14193
Massachusetts,2020-04-21,41199
Michigan,2020-04-21,32667
Minnesota,2020-04-21,2567
Mississippi,2020-04-21,4716
Missouri,2020-04-21,6066
Montana,2020-04-21,437
Nebraska,2020-04-21,1685
Nevada,2020-04-21,3937
New Hampshire,2020-04-21,1490
New Jersey,2020-04-21,92387
New Mexico,2020-04-21,1971
New York,2020-04-21,258361
North Carolina,2020-04-21,7134
North Dakota,2020-04-21,644
Northern Mariana Islands,2020-04-21,14
Ohio,2020-04-21,13725
Oklahoma,2020-04-21,2807
Oregon,2020-04-21,2004
Pennsylvania,2020-04-21,35249
Puerto Rico,2020-04-21,1298
Rhode Island,2020-04-21,5500
South Carolina,2020-04-21,4439
South Dakota,2020-04-21,1755
Tennessee,2020-04-21,7394
Texas,2020-04-21,20688
Utah,2020-04-21,3297
Vermont,2020-04-21,818
